,Country,FormalEducationPercent,CO2,EnergyUse,GDP,Inequality,LifeExpectancy,SolarAndWindElectricity,GreenhouseGasEmissions,SchoolingYears
90,Estonia,0.9931034482758619,0.17780541677109343,0.1850010134554617,0.19835812307150485,0.44725017082433915,0.8555422593271484,0.3014772031131324,0.10853026524968375,0.8968606668431826
91,Eswatini,0.6551724137931035,0.021408492510428045,0.02636620673098413,0.05334727980669821,0.9006996074837047,0.5547602276456604,0.0,,0.21862673105663016
92,Ethiopia,,0.002825204257852104,0.003842157772312926,0.011395047785956748,0.5623874291286272,0.6186414901025366,0.0013396436399984784,0.002076737027517248,0.20200367734336455
93,Europe,0.9846305172413793,,0.1699582442243398,,,0.8536592198893789,0.2678288485529024,0.11242141538698855,
94,Europe (WID),,,,,0.40960349920965977,,,,
95,European Union (27),,,0.15379525625258816,,,,0.3699148256832114,0.08734356982761,
96,European Union (WID),,,,,0.3972618021117847,,,,
97,Faeroe Islands,,0.3515002995002445,,,,,,,
98,Falkland Islands,,,0.21773784221534398,,,0.8567369187791661,0.6902324879741946,,
99,Faroe Islands,,,0.312792999495785,,,0.8760675893092986,0.24696176797377475,,
100,Fiji,0.9827586206896551,0.028734698561149928,0.04065657102215645,,,0.618655497834805,0.002821747850965278,0.02189048738457313,0.44732050635198917
101,Finland,0.9948275862068964,0.13386442550275335,0.26403932489319043,0.2699320100337126,0.24519847426848496,0.9107067101039775,0.7228992587092805,0.10717569824512166,0.8986933612208846
102,Former Sudan,,,,0.012174897832718069,,,,,
103,France,0.9827586206896551,0.09877763616321547,0.16382931611461188,0.25892236429432336,0.35287681371978474,0.939024341436473,0.29117694823295764,0.06299266328155809,0.854379425868771
104,French Guiana,,,0.0,,,0.812010229646765,,,
105,French Polynesia,,0.06963131843866988,0.06719179294157145,,,0.9539225652560214,0.04282798146182897,,
106,Gabon,0.889655172413793,0.05213248024044907,0.03530847089187519,0.1017973199302813,0.5737478186132954,0.6390867759002968,0.0,0.09787183826760255,0.35999821472808596
107,Gambia,0.1896551724137931,0.006017917241776936,0.00410528060990358,0.00951803394651595,0.5847448358332482,0.5895314213445821,0.0,0.0030735708596201284,0.2987631429519716
108,Georgia,,0.07410426702632363,0.09184475607991724,0.09264002838383331,0.5956532037205089,0.7623508176513435,0.006333262584298699,0.05182565049426204,0.5720383804046383
109,Germany,0.9741379310344828,0.16801733655216672,0.16774371840555902,0.309954485728551,0.3502747758066252,0.9000508280570876,0.6263279808059355,0.10595849406479933,0.8321640757659745
110,Ghana,0.7275862068965515,0.013516996767989052,0.01535551435707999,0.02453995991794486,0.682818560083289,0.5822794182388679,0.0010188369960607044,0.012113814182902567,0.35375705081527226
111,Gibraltar,,,,,,0.9435808566328613,0.0,,
112,Global,,0.11027236070515475,,,,,,,
113,Greece,0.9913793103448276,0.1252995824086731,0.13009153367506635,0.1661622751063359,0.3574050846332255,0.909638120242374,0.5150093858345391,0.083346500693905,0.7313947344434427
